ranker|school_name|year_min|year_max|years|g|wins|losses|win_loss_pct|srs|sos|poll_final|conf_champ_count|conf_champ_post_count|ncaa_count|ncaa_final_four_count|ncaa_champ_count|
132|Florida Atlantic Owls|1994|2015|22|639|232|407|.363|-9.92|-3.78|0|1|1|1|0|0
133|Florida Gators|1921|2015|94|2399|1340|1058|.559|13.32|7.81|13|9|4|19|5|2
134|Florida Gulf Coast Eagles|2011|2015|5|160|92|68|.575|-2.26|-3.25|0|1|1|1|0|0
135|Florida International Panthers|1988|2015|28|815|321|494|.394|-8.70|-3.42|0|1|1|1|0|0
136|Florida State Seminoles|1957|2015|59|1714|1002|712|.585|9.65|7.37|8|2|2|14|1|0
137|Fordham Rams|1903|2015|111|2771|1465|1306|.529|-3.57|0.19|1|4|4|4|0|0
138|Franklin Grizzlies|1907|1925|18|221|144|77|.652|||0|0|0|||
139|Fresno State Bulldogs|1956|2015|48|1431|794|637|.555|4.23|2.59|1|6|4|5|0|0
140|Furman Paladins|1920|2015|94|2346|1148|1198|.489|-7.17|-3.77|0|5|6|6|0|0
141|Gardner-Webb Runnin' Bulldogs|2003|2015|13|397|173|224|.436|-9.08|-4.65|0|1|0|0|0|0
142|Geneva Golden Tornadoes|1893|1943|10|125|80|45|.640|||0|0|0|0|0|0
143|George Mason Patriots|1979|2015|37|1099|598|501|.544|-1.06|-1.70|0|4|4|6|1|0
144|George Washington Colonials|1913|2015|98|2352|1272|1080|.541|3.20|2.26|3|7|5|11|0|0
145|Georgetown Hoyas|1907|2015|107|2589|1604|985|.620|14.41|7.35|19|11|7|29|5|1
146|Georgia Bulldogs|1906|2015|110|2595|1350|1245|.520|10.43|7.74|5|3|3|11|1|0
147|Georgia Southern Eagles|1972|2015|44|1261|636|625|.504|-7.10|-5.27|0|7|3|3|0|0
148|Georgia State Panthers|1974|2015|42|1205|501|704|.416|-7.38|-4.21|0|5|2|2|0|0
149|Georgia Tech Yellow Jackets|1920|2015|96|2453|1297|1156|.529|10.60|8.82|8|3|4|16|2|0
150|Gettysburg Bullets|1901|1973|41|724|385|339|.532|||0|0|0|0|0|0
151|Gonzaga Bulldogs|1944|2015|64|1845|1166|679|.632|7.84|1.24|8|19|13|17|0|0
152|Grambling Tigers|1978|2015|38|1061|387|674|.365|-18.07|-9.34|0|2|0|0|0|0
153|Grand Canyon Antelopes|2014|2015|2|56|30|26|.536|-5.97|-4.06|0|0|0|0|0|0
154|Green Bay Phoenix|1982|2015|34|1014|561|453|.553|-0.03|-1.00|0|4|3|4|0|0
155|Grinnell Pioneers|1901|1939|38|550|280|270|.509|||0|0|0|0|0|0
156|Grove City Wolverines|1899|1925|27|383|257|126|.671|||0|0|0|||
157|Hamline Pipers|1945|1948|4|102|82|20|.804|||0|0|0|0|0|0
158|Hampton Pirates|1996|2015|20|600|314|286|.523|-8.94|-9.13|0|2|4|4|0|0
159|Hardin-Simmons Cowboys|1923|1990|45|1149|481|668|.419|-11.53|-4.81|0|1|0|2|0|0
160|Hartford Hawks|1985|2015|31|903|379|524|.420|-8.93|-5.38|0|0|0|0|0|0
161|Harvard Crimson|1901|2015|104|2354|1079|1275|.458|-7.78|-5.75|0|4|0|4|0|0
162|Haskell Indian Nations Institute Fighting Indians|1903|1908|2|39|27|12|.692|||0|0|0|||
163|Hawaii Warriors|1971|2015|45|1306|677|629|.518|2.54|2.57|1|2|3|4|0|0
164|High Point Panthers|2000|2015|16|477|226|251|.474|-9.74|-6.47|0|2|0|0|0|0
165|Hiram Terriers|1894|1904|8|59|45|14|.763|||0|0|0|||
166|Hofstra Pride|1943|2015|50|1425|714|711|.501|-5.32|-4.49|0|6|5|4|0|0
167|Holy Cross Crusaders|1901|2015|95|2270|1351|919|.595|-4.40|-5.04|6|7|6|12|2|1
168|Hope Flying Dutchmen|1908|1913|5|65|44|21|.677|||0|0|0|||
169|Houston Baptist Huskies|1974|2015|21|589|250|339|.424|-9.25|-6.27|0|2|1|1|0|0
170|Houston Cougars|1951|2015|65|1896|1117|779|.589|4.37|3.14|7|5|6|19|5|0
171|Howard Bison|1974|2015|42|1178|464|714|.394|-15.11|-9.50|0|4|3|2|0|0
172|Idaho State Bengals|1959|2015|57|1560|698|862|.447|-7.16|-1.99|0|4|2|5|0|0
173|Idaho Vandals|1906|2015|110|2710|1275|1433|.471|-2.29|-0.78|1|7|4|4|0|0
174|Illinois Fighting Illini|1906|2015|110|2661|1725|936|.648|15.86|8.74|26|17|2|30|5|0
175|Illinois State Redbirds|1899|2015|56|1401|842|559|.601|4.04|2.18|0|5|4|6|0|0
176|Illinois Wesleyan Titans|1928|1928|1|14|13|1|.929|||0|0|0|||
177|Illinois-Chicago Flames|1982|2015|34|1014|493|521|.486|-2.35|-0.88|0|2|2|3|0|0
178|Incarnate Word Cardinals|2014|2015|2|49|36|13|.735|-6.45|-8.33|0|0|0|0|0|0
179|Indiana Hoosiers|1901|2015|115|2743|1751|992|.638|15.93|9.43|27|21|0|37|8|5
180|Indiana State Sycamores|1900|2015|93|2040|1060|980|.520|-0.80|2.42|1|2|3|4|1|0
181|Iona Gaels|1954|2015|62|1677|937|740|.559|-0.53|-2.47|1|9|7|10|0|0
182|Iowa Hawkeyes|1893|2015|118|2683|1568|1114|.585|13.35|8.12|17|8|2|23|3|0
183|Iowa State Cyclones|1908|2015|108|2552|1285|1267|.504|9.39|7.18|6|6|3|16|1|0
184|IPFW Mastodons|2003|2015|13|389|166|223|.427|-7.41|-2.12|0|0|0|0|0|0
185|IUPUI Jaguars|1999|2015|17|522|256|266|.490|-4.28|-2.56|0|1|1|1|0|0
186|Jackson State Tigers|1978|2015|38|1126|532|594|.472|-11.15|-8.52|0|7|4|3|0|0
187|Jacksonville Dolphins|1967|2015|49|1395|688|707|.493|-5.02|-1.92|2|3|2|5|1|0
188|Jacksonville State Gamecocks|1996|2015|20|574|232|342|.404|-10.68|-6.79|0|0|0|0|0|0
189|James Madison Dukes|1977|2015|39|1152|599|553|.520|-1.93|-1.83|0|6|3|5|0|0
190|John Carroll Blue Streaks|1948|1955|8|191|80|111|.419|||0|0|0|0|0|0
191|Kalamazoo Hornets|1908|1923|16|193|134|59|.694|||0|0|0|||
192|Kansas Jayhawks|1899|2015|117|2974|2147|827|.722|19.31|8.59|39|57|13|43|14|3
193|Kansas State Wildcats|1906|2015|110|2667|1567|1100|.588|9.77|7.40|15|18|2|28|4|0
194|Kennesaw State Owls|2010|2015|6|183|42|141|.230|-14.44|-3.43|0|0|0|0|0|0
195|Kent State Golden Flashes|1914|2015|96|2259|1099|1160|.486|1.34|0.01|0|8|5|5|0|0
196|Kentucky Wesleyan Panthers|1957|1958|2|52|30|22|.577|||0|0|0|0|0|0
197|Kentucky Wildcats|1903|2015|112|2842|2168|673|.763|19.04|9.07|47|52|29|54|16|8
198|La Salle Explorers|1932|2015|84|2234|1324|910|.593|1.99|1.19|6|9|8|12|2|1
199|Lafayette Leopards|1901|2015|105|2475|1293|1182|.522|-8.57|-5.91|0|17|2|3|0|0
200|Lake Forest Foresters|1905|1916|12|144|89|55|.618|||0|0|0|||
201|Lamar Cardinals|1970|2015|46|1319|674|645|.511|-3.42|-3.07|0|9|4|6|0|0
202|Latter Day Saints University |1903|1903|1|16|15|1|.938|||0|0|0|||
203|Lawrence Vikings|1948|1948|1|28|22|6|.786|||0|0|0|0|0|0
204|Lehigh Mountain Hawks|1902|2015|114|2392|1033|1359|.432|-9.73|-6.71|0|4|5|5|0|0
205|Lewis University Flyers|1905|1905|1|25|20|5|.800|||0|0|0|||
206|Liberty Flames|1989|2015|27|811|367|444|.453|-11.26|-7.23|0|2|3|3|0|0
207|Lipscomb Bisons|2004|2015|12|357|179|178|.501|-6.67|-4.70|0|2|0|0|0|0
208|Long Beach State 49ers|1970|2015|46|1353|747|606|.552|-0.32|1.47|5|14|5|9|0|0
209|Long Island University Blackbirds|1929|2015|70|1852|1042|808|.563|-10.99|-7.40|1|9|5|6|0|0
210|Longwood Lancers|2008|2015|8|248|84|164|.339|-16.90|-5.10|0|0|0|0|0|0
211|Louisiana State Fighting Tigers|1909|2015|107|2609|1483|1126|.568|10.16|6.87|12|11|1|20|4|0
212|Louisiana Tech Bulldogs|1974|2015|42|1238|705|533|.569|0.87|-0.75|1|9|6|5|0|0
213|Louisiana-Lafayette Ragin' Cajuns|1972|2015|44|1248|717|531|.575|0.48|-0.78|2|9|7|10|0|0
214|Louisiana-Monroe Warhawks|1974|2015|42|1211|643|568|.531|-5.51|-4.26|0|10|8|7|0|0
215|Louisville Cardinals|1912|2015|101|2629|1748|881|.665|15.45|7.82|31|23|17|40|10|3
216|Loyola (IL) Ramblers|1921|2015|94|2340|1230|1110|.526|-1.93|0.35|5|6|1|5|1|1
217|Loyola (LA) Wolfpack|1952|1972|20|499|237|262|.475|||0|0|0|2|0|0
218|Loyola (MD) Greyhounds|1908|2015|71|1607|747|860|.465|-8.94|-4.67|0|0|2|2|0|0
219|Loyola Marymount Lions|1943|2015|68|1858|805|1053|.433|-3.33|1.18|2|3|2|5|0|0
220|Macalester Scots|1896|1899|4|21|8|13|.381|||0|0|0|||
221|Maine Black Bears|1904|2015|71|1670|773|897|.463|-8.76|-5.70|0|0|0|0|0|0
222|Manchester Spartans|1926|1926|1|16|15|1|.938|||0|0|0|||
223|Manhattan Jaspers|1905|2015|109|2480|1311|1169|.529|-4.58|-3.37|0|13|4|7|0|0
224|Marietta Pioneers|1908|1920|13|175|109|66|.623|||0|0|0|||
225|Marist Red Foxes|1982|2015|34|995|460|535|.462|-6.86|-5.66|0|5|2|2|0|0
226|Marquette Golden Eagles|1917|2015|98|2499|1547|952|.619|10.41|5.27|22|5|1|31|3|1
227|Marshall Thundering Herd|1919|2015|91|2313|1320|991|.571|-0.48|-1.03|1|6|3|5|0|0
